prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
愛媛県,kashima Island,嘉島,かしま,宇和島市,0.3,,
愛媛県,tojima Island,戸島,とじま,宇和島市,2.76,,
愛媛県,hiburishima Island,日振島,ひぶりしま,宇和島市,3.74,,
愛媛県,takegashima Island,竹ケ島,たけがしま,宇和島市,0.51,,
高知県,nakanoshima Island,中ノ島,なかのしま,須崎市,0.23,,
高知県,heshima Island,戸島,へしま,須崎市,0.11,,
高知県,kashiwajima Island,柏島,かしわじま,幡多郡大月町,0.57,,
高知県,ooshima Island,大島,おおしま,宿毛市,1.01,,
高知県,ugurushima Island,鵜来島,うぐるしま,宿毛市,1.31,,
高知県,okinoshima Island,沖の島,おきのしま,宿毛市,10.02,,
福岡県,umashima Island,馬島,うましま,北九州市小倉北区,0.26,,
福岡県,ainoshima Island,藍島,あいのしま,北九州市小倉北区,0.68,,
福岡県,jinoshima Island,地島,じのしま,宗像市,1.63,,
福岡県,ooshima Island,大島,おおしま,宗像市,7.19,,
福岡県,ainoshima Island,相島,あいのしま,糟屋郡新宮町,1.22,,
福岡県,shikanoshima Island,志賀島,しかのしま,福岡市東区,5.79,,
福岡県,nokonoshima Island,能古島,のこのしま,福岡市西区,3.92,,
福岡県,genkaijima Island,玄界島,げんかいじま,福岡市西区,1.16,,
福岡県,oronoshima Island,小呂島,おろのしま,福岡市西区,0.43,,
福岡県,himeshima Island,姫島,ひめしま,糸島市,0.75,,
佐賀県,takashima Island,高島,たかしま,唐津市,0.62,,
佐賀県,kashiwajima Island,神集島,かしわじま,唐津市,1.39,,
佐賀県,kabeshima Island,加部島,かべしま,唐津市,2.71,,
佐賀県,ogawashima Island,小川島,おがわしま,唐津市,0.92,,
佐賀県,kakarashima Island,加唐島,かからしま,唐津市,2.83,,
佐賀県,matsushima Island,松島,まつしま,唐津市,0.63,,
佐賀県,madarashima Island,馬渡島,まだらしま,唐津市,4.24,,
佐賀県,mukushima Island,向島,むくしま,唐津市,0.3,,
長崎県,tsushima Island,対馬,つしま,対馬市,695.74,,
長崎県,unijima Island,海栗島,うにじま,対馬市,0.09,,
長崎県,akashima Island,赤島,あかしま,対馬市,0.48,,
長崎県,tomarishima Island,泊島,とまりしま,対馬市,0.1,,
長崎県,okinoshima Island,沖ノ島,おきのしま,対馬市,2.62,,
長崎県,shimayamajima Island,島山島,しまやまじま,対馬市,4.7,,
長崎県,ikishima Island,壱岐島,いきしま,壱岐市,134.63,,
長崎県,ooshima Island,大島,おおしま,壱岐市,1.17,,
長崎県,nagashima Island,長島,ながしま,壱岐市,0.51,,
長崎県,harushima Island,原島,はるしま,壱岐市,0.53,,
長崎県,wakamiyajima Island,若宮島,わかみやじま,壱岐市,0.56,,
長崎県,fukushima Island,福島,ふくしま,松浦市,16.94,,
長崎県,takashima Island,鷹島,たかしま,松浦市,16.18,,
長崎県,kuroshima Island,黒島,くろしま,松浦市,0.82,,
長崎県,tobishima Island,飛島,とびしま,松浦市,0.5,,
長崎県,aoshima Island,青島,あおしま,松浦市,0.9,,
長崎県,azuchiooshima Island,的山大島,あづちおおしま,平戸市,15.16,,
長崎県,takushima Island,度島,たくしま,平戸市,3.57,,
長崎県,hiradoshima Island,平戸島,ひらどしま,平戸市,163.44,,
長崎県,takashima Island,高島,たかしま,平戸市,0.25,,
長崎県,ikitsukijima Island,生月島,いきつきじま,平戸市,16.55,,
長崎県,maejima Island,前島,まえじま,佐世保市,0.31,,
長崎県,toudomarijima Island,鼕泊島,とうどまりじま,佐世保市,0.1,,
長崎県,kuroshima Island,黒島,くろしま,佐世保市,4.66,,
長崎県,takashima Island,高島,たかしま,佐世保市,2.67,,
長崎県,hariojima Island,針尾島,はりおじま,佐世保市,33.16,,
長崎県,ooshima Island,大島,おおしま,佐世保市,0.4,,
長崎県,takenoshima Island,竹ノ島,たけのしま,西海市,0.08,,
長崎県,usejima Island,鵜瀬島,うせじま,長崎市,0.25,,
長崎県,maejima Island,前島,まえじま,西彼杵郡時津町,0.26,,
長崎県,kashima Island,鹿島,かしま,諫早市,0.16,,
長崎県,ooshima Island,大島,おおしま,西海市,12.09,,
長崎県,terashima Island,寺島,てらしま,西海市,0.78,,
長崎県,kakinourashima Island,蠣浦島,かきのうらしま,西海市,4.75,,
